11.0757 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 00030100010/n/nG: 0000 0003 0001 0000 0001 0\n\nN: 0.0000 0.0294 0.0098 0.0000 0.0098 0\n\nSample: 0004\n\nPress 'q' to quit."
11.0874 	EXP 	feedback_text: height = 0.05
11.0874 	EXP 	feedback_text: height = 0.05
11.0874 	EXP 	feedback_text: height = 0.05
11.0874 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 02020000020/n/nG: 0002 0002 0000 0000 0002 0\n\nN: 0.0196 0.0196 0.0000 0.0000 0.0196 0\n\nSample: 0005\n\nPress 'q' to quit."
11.0944 	EXP 	feedback_text: height = 0.05
11.0944 	EXP 	feedback_text: height = 0.05
11.0944 	EXP 	feedback_text: height = 0.05
11.0944 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 02000200020/n/nG: 0002 0000 0002 0000 0002 0\n\nN: 0.0196 0.0000 0.0196 0.0000 0.0196 0\n\nSample: 0006\n\nPress 'q' to quit."
11.1040 	EXP 	feedback_text: height = 0.05
11.1040 	EXP 	feedback_text: height = 0.05
11.1040 	EXP 	feedback_text: height = 0.05
11.1040 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 00030000020/n/nG: 0000 0003 0000 0000 0002 0\n\nN: 0.0000 0.0294 0.0000 0.0000 0.0196 0\n\nSample: 0007\n\nPress 'q' to quit."
11.1114 	EXP 	feedback_text: height = 0.05
11.1114 	EXP 	feedback_text: height = 0.05
11.1114 	EXP 	feedback_text: height = 0.05
11.1114 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 00010101020/n/nG: 0000 0001 0001 0001 0002 0\n\nN: 0.0000 0.0098 0.0098 0.0098 0.0196 0\n\nSample: 0008\n\nPress 'q' to quit."
11.1203 	EXP 	feedback_text: height = 0.05
11.1203 	EXP 	feedback_text: height = 0.05
11.1203 	EXP 	feedback_text: height = 0.05
11.1203 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 01000200010/n/nG: 0001 0000 0002 0000 0001 0\n\nN: 0.0098 0.0000 0.0196 0.0000 0.0098 0\n\nSample: 0009\n\nPress 'q' to quit."
11.1281 	EXP 	feedback_text: height = 0.05
11.1281 	EXP 	feedback_text: height = 0.05
11.1281 	EXP 	feedback_text: height = 0.05
11.1281 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 02020103020/n/nG: 0002 0002 0001 0003 0002 0\n\nN: 0.0196 0.0196 0.0098 0.0294 0.0196 0\n\nSample: 0010\n\nPress 'q' to quit."
11.1387 	EXP 	feedback_text: height = 0.05
11.1387 	EXP 	feedback_text: height = 0.05
11.1387 	EXP 	feedback_text: height = 0.05
11.1387 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 03020200020/n/nG: 0003 0002 0002 0000 0002 0\n\nN: 0.0294 0.0196 0.0196 0.0000 0.0196 0\n\nSample: 0011\n\nPress 'q' to quit."
11.1472 	EXP 	feedback_text: height = 0.05
11.1472 	EXP 	feedback_text: height = 0.05
11.1472 	EXP 	feedback_text: height = 0.05
11.1472 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 01020000010/n/nG: 0001 0002 0000 0000 0001 0\n\nN: 0.0098 0.0196 0.0000 0.0000 0.0098 0\n\nSample: 0012\n\nPress 'q' to quit."
11.1551 	EXP 	feedback_text: height = 0.05
11.1551 	EXP 	feedback_text: height = 0.05
11.1551 	EXP 	feedback_text: height = 0.05
11.1551 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 01020200010/n/nG: 0001 0002 0002 0000 0001 0\n\nN: 0.0098 0.0196 0.0196 0.0000 0.0098 0\n\nSample: 0013\n\nPress 'q' to quit."
11.1633 	EXP 	feedback_text: height = 0.05
11.1633 	EXP 	feedback_text: height = 0.05
11.1633 	EXP 	feedback_text: height = 0.05
11.1633 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 01010000010/n/nG: 0001 0001 0000 0000 0001 0\n\nN: 0.0098 0.0098 0.0000 0.0000 0.0098 0\n\nSample: 0014\n\nPress 'q' to quit."
11.1720 	EXP 	feedback_text: height = 0.05
11.1720 	EXP 	feedback_text: height = 0.05
11.1720 	EXP 	feedback_text: height = 0.05
11.1720 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 02020001020/n/nG: 0002 0002 0000 0001 0002 0\n\nN: 0.0196 0.0196 0.0000 0.0098 0.0196 0\n\nSample: 0015\n\nPress 'q' to quit."
11.1807 	EXP 	feedback_text: height = 0.05
11.1807 	EXP 	feedback_text: height = 0.05
11.1807 	EXP 	feedback_text: height = 0.05
11.1807 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 02020001010/n/nG: 0002 0002 0000 0001 0001 0\n\nN: 0.0196 0.0196 0.0000 0.0098 0.0098 0\n\nSample: 0016\n\nPress 'q' to quit."
11.1914 	EXP 	feedback_text: height = 0.05
11.1914 	EXP 	feedback_text: height = 0.05
11.1914 	EXP 	feedback_text: height = 0.05
11.1914 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 01010001010/n/nG: 0001 0001 0000 0001 0001 0\n\nN: 0.0098 0.0098 0.0000 0.0098 0.0098 0\n\nSample: 0017\n\nPress 'q' to quit."
11.1994 	EXP 	feedback_text: height = 0.05
11.1994 	EXP 	feedback_text: height = 0.05
11.1994 	EXP 	feedback_text: height = 0.05
11.1994 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 01010001010/n/nG: 0001 0001 0000 0001 0001 0\n\nN: 0.0098 0.0098 0.0000 0.0098 0.0098 0\n\nSample: 0018\n\nPress 'q' to quit."
11.2082 	EXP 	feedback_text: height = 0.05
11.2082 	EXP 	feedback_text: height = 0.05
11.2082 	EXP 	feedback_text: height = 0.05
11.2082 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 01010001010/n/nG: 0001 0001 0000 0001 0001 0\n\nN: 0.0098 0.0098 0.0000 0.0098 0.0098 0\n\nSample: 0019\n\nPress 'q' to quit."
11.2208 	EXP 	feedback_text: height = 0.05
11.2208 	EXP 	feedback_text: height = 0.05
11.2208 	EXP 	feedback_text: height = 0.05
11.2208 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 01020000000/n/nG: 0001 0002 0000 0000 0000 0\n\nN: 0.0098 0.0196 0.0000 0.0000 0.0000 0\n\nSample: 0020\n\nPress 'q' to quit."
11.2300 	EXP 	feedback_text: height = 0.05
11.2300 	EXP 	feedback_text: height = 0.05
11.2300 	EXP 	feedback_text: height = 0.05
11.2300 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 00020201020/n/nG: 0000 0002 0002 0001 0002 0\n\nN: 0.0000 0.0196 0.0196 0.0098 0.0196 0\n\nSample: 0021\n\nPress 'q' to quit."
11.2382 	EXP 	feedback_text: height = 0.05
11.2382 	EXP 	feedback_text: height = 0.05
11.2382 	EXP 	feedback_text: height = 0.05
11.2382 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 00020200010/n/nG: 0000 0002 0002 0000 0001 0\n\nN: 0.0000 0.0196 0.0196 0.0000 0.0098 0\n\nSample: 0022\n\nPress 'q' to quit."
11.2466 	EXP 	feedback_text: height = 0.05
11.2466 	EXP 	feedback_text: height = 0.05
11.2466 	EXP 	feedback_text: height = 0.05
11.2466 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 00010000020/n/nG: 0000 0001 0000 0000 0002 0\n\nN: 0.0000 0.0098 0.0000 0.0000 0.0196 0\n\nSample: 0024\n\nPress 'q' to quit."
11.2557 	EXP 	feedback_text: height = 0.05
11.2557 	EXP 	feedback_text: height = 0.05
11.2557 	EXP 	feedback_text: height = 0.05
11.2557 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 00010200000/n/nG: 0000 0001 0002 0000 0000 0\n\nN: 0.0000 0.0098 0.0196 0.0000 0.0000 0\n\nSample: 0025\n\nPress 'q' to quit."
11.2635 	EXP 	feedback_text: height = 0.05
11.2635 	EXP 	feedback_text: height = 0.05
11.2635 	EXP 	feedback_text: height = 0.05
11.2635 	EXP 	feedback_text: text = "BUT0 BUT1 BUT2 BUT3 BUT4 TTL\nBase 71: 00020100010/n/nG: 0000 0002 0001 0000 0001 0\n\nN: 0.0000 0.0196 0.0098 0.0000 0.0098 0\n\nSample: 0026\n\nPress 'q' to quit."
11.2720 	EXP 	feedback_text: height = 0.05
